atlas,system,api_name,api_url,called_by,functional,method
Australia,collections,collections_collections,https://api.ala.org.au/metadata/ws/collection,show_all-collections,TRUE,GET
Australia,collections,collections_datasets,	https://api.ala.org.au/metadata/ws/dataResource,show_all-datasets,TRUE,GET
Australia,collections,collections_providers,https://api.ala.org.au/metadata/ws/dataProvider,show_all-providers,TRUE,GET
Australia,data-quality,profiles_all,https://api.ala.org.au/dqf-service/api/v1/data-profiles?enabled=true,show_all-profiles,TRUE,GET
Australia,data-quality,profiles_lookup,https://api.ala.org.au/dqf-service/api/v1/data-profiles/{profile},show_values-profiles,TRUE,GET
Australia,doi,doi_download,https://api.ala.org.au/doi/api/doi/{doi_string}/download,doi_download,TRUE,GET
Australia,images,image_licences,https://api.ala.org.au/images/ws/licence,show_all-licences,TRUE,GET
Australia,images,image_metadata,https://api.ala.org.au/images/ws/getImageInfoForIdList,media_metadata,TRUE,POST
Australia,images,image_download,https://api.ala.org.au/images/ws/image/{id}/original,media_download,TRUE,GET
Australia,lists,lists_all,https://api.ala.org.au/specieslist/ws/speciesList,show_all-lists,TRUE,GET
Australia,lists,lists_lookup,https://api.ala.org.au/specieslist/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
Australia,logger,logger_reasons,https://api.ala.org.au/logger/service/logger/reasons,show_all-reasons,TRUE,GET
Australia,name-matching,names_lookup,https://api.ala.org.au/namematching/api/getByTaxonID,search_identifiers,TRUE,GET
Australia,species,names_search_bulk_species,https://bie.ala.org.au/ws/species/lookup/bulk,atlas_species,TRUE,POST
Australia,name-matching,names_search_multiple,https://api.ala.org.au/namematching/api/searchByClassification,search_taxa,TRUE,GET
Australia,name-matching,names_search_single,https://api.ala.org.au/namematching/api/search?q={name},search_taxa,TRUE,GET
Australia,records,records_assertions,https://api.ala.org.au/occurrences/assertions/codes,show_all-assertions,TRUE,GET
Australia,records,records_counts,https://api.ala.org.au/occurrences/occurrences/search,atlas_counts,TRUE,GET
Australia,records,records_facets,https://api.ala.org.au/occurrences/occurrences/facets,"atlas_counts, show_values-fields",TRUE,GET
Australia,records,records_fields,https://api.ala.org.au/occurrences/index/fields,show_all-fields,TRUE,GET
Australia,records,records_occurrences,https://api.ala.org.au/occurrences/occurrences/offline/download,atlas_occurrences,TRUE,GET
Australia,records,records_species,https://api.ala.org.au/occurrences/occurrences/facets/download,atlas_species,TRUE,GET
Australia,spatial,spatial_layers,https://api.ala.org.au/spatial-service/fields,show_all-fields,TRUE,GET
Australia,species,species_children,https://api.ala.org.au/species/childConcepts/{id}/children,atlas_taxonomy,TRUE,GET
Australia,species,species_lookup,https://api.ala.org.au/species/childConcepts/{id},atlas_taxonomy,TRUE,GET
Australia,occurrences,occurrences_qid,https://api.ala.org.au/occurrences/qid,atlas_occurrences,TRUE,POST
Austria,collections,collections_collections,https://collectory.biodiversityatlas.at/ws/collection,show_all-collections,TRUE,GET
Austria,collections,collections_datasets,https://collectory.biodiversityatlas.at/ws/dataResource,show_all-datasets,TRUE,GET
Austria,collections,collections_providers,https://collectory.biodiversityatlas.at/ws/dataProvider,show_all-providers,TRUE,GET
Austria,images,image_licences,https://images.biodiversityatlas.at/ws/licence,show_all-licences,TRUE,GET
Austria,images,image_metadata,https://images.biodiversityatlas.at/ws/image/,media_metadata,FALSE,GET
Austria,lists,lists_all,https://lists.biodiversityatlas.at/ws/speciesList/,show_all-lists,TRUE,GET
Austria,lists,lists_lookup,https://lists.biodiversityatlas.at/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
Austria,logger,logger_reasons,https://logger.biodiversityatlas.at/service/logger/reasons,show_all-reasons,TRUE,GET
Austria,records,records_assertions,	https://biocache.biodiversityatlas.at/ws/assertions/codes,show_all-assertions,TRUE,GET
Austria,records,records_counts,https://biocache.biodiversityatlas.at/ws/occurrences/search,atlas_counts,TRUE,GET
Austria,records,records_facets,https://biocache.biodiversityatlas.at/ws/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Austria,records,records_fields,https://biocache.biodiversityatlas.at/ws/index/fields,show_all-fields,TRUE,GET
Austria,records,records_occurrences,https://biocache.biodiversityatlas.at/ws/occurrences/download,atlas_occurrences,TRUE,GET
Austria,records,records_query,https://biocache.biodiversityatlas.at/ws/webportal/params,atlas_occurrences,TRUE,GET
Austria,records,records_species,https://biocache.biodiversityatlas.at/ws/occurrences/facets/download,atlas_species,TRUE,GET
Austria,spatial,spatial_layers,https://spatial.biodiversityatlas.at/ws/layers,show_all-fields,TRUE,GET
Austria,species,names_search_single,https://bie.biodiversityatlas.at/ws/search?q={name}&pageSize=5,search_taxa,TRUE,GET
Austria,species,species_children,https://bie.biodiversityatlas.at/ws/childConcepts/,atlas_taxonomy,TRUE,GET
Austria,species,species_lookup,https://bie.biodiversityatlas.at/ws/species,atlas_taxonomy,TRUE,GET
Brazil,collections,collections_collections,https://collectory.sibbr.gov.br/collectory/ws/collection,show_all-collections,TRUE,GET
Brazil,collections,collections_datasets,https://collectory.sibbr.gov.br/collectory/ws/dataResource,show_all-datasets,TRUE,GET
Brazil,collections,collections_providers,https://collectory.sibbr.gov.br/collectory/ws/dataProvider,show_all-providers,TRUE,GET
Brazil,images,image_licences,https://images.sibbr.gov.br/images/ws/licence,show_all-licences,TRUE,GET
Brazil,images,image_metadata,https://images.sibbr.gov.br/images/ws/image/,media_metadata,FALSE,GET
Brazil,lists,lists_all,https://specieslist.sibbr.gov.br/ws/speciesList/,show_all-lists,TRUE,GET
Brazil,lists,lists_lookup,https://specieslist.sibbr.gov.br/ws/speciesListItems/{list_id},show_values-lists,TRUE,GET
Brazil,records,records_assertions,https://biocache-service.sibbr.gov.br/biocache-service/assertions/codes,show_all-assertions,TRUE,GET
Brazil,records,records_counts,https://biocache-service.sibbr.gov.br/biocache-service/occurrences/search,atlas_counts,TRUE,GET
Brazil,records,records_facets,https://biocache-service.sibbr.gov.br/biocache-service/occurrence/facets,"atlas_counts, show_values-fields",TRUE,GET
Brazil,records,records_fields,https://biocache-service.sibbr.gov.br/biocache-service/index/fields,show_all-fields,TRUE,GET
