atlas,system,api_name,api_url,called_by,functional,method
Australia,collections,collections_collections,https://api.test.ala.org.au/common/collectory/collection,show_all-collections,TRUE,GET
Australia,collections,collections_datasets,https://api.test.ala.org.au/common/collectory/dataResource,show_all-datasets,TRUE,GET
Australia,collections,collections_providers,https://api.test.ala.org.au/common/collectory/dataProvider,show_all-providers,TRUE,GET
Australia,data-quality,profiles_all,https://api.test.ala.org.au/common/data-quality/data-profiles,show_all-profiles,TRUE,GET
Australia,data-quality,profiles_lookup,https://api.test.ala.org.au/common/data-quality/quality/activeProfile?profilename={profile},show_values-profiles,TRUE,GET
Australia,doi,doi_download,https://api.test.ala.org.au/common/doi/{doi_string}/download,doi_download,TRUE,GET
Australia,images,image_licences,https://api.test.ala.org.au/common/images/licence,show_all-licences,TRUE,GET
Australia,images,image_metadata,https://api.test.ala.org.au/common/images/image/{id},media_metadata,TRUE,GET
Australia,lists,lists_all,https://api.test.ala.org.au/common/lists/speciesList,show_all-lists,TRUE,GET
Australia,lists,lists_lookup,https://api.test.ala.org.au/common/lists/speciesListItems/{list_id},show_values-lists,TRUE,GET
Australia,logger,logger_reasons,https://api.test.ala.org.au/common/logger/reasons,show_all-reasons,TRUE,GET
Australia,name-matching,names_lookup,https://api.test.ala.org.au/common/name-matching/getByTaxonID,search_identifiers,TRUE,GET
Australia,name-matching,names_search_multiple,https://api.test.ala.org.au/common/name-matching/searchByClassification,search_taxa,TRUE,GET
Australia,name-matching,names_search_single,https://api.test.ala.org.au/common/name-matching/search?q={name},search_taxa,TRUE,GET
Australia,records,records_assertions,https://api.test.ala.org.au/common/biocache/assertions/codes,show_all-assertions,TRUE,GET
Australia,records,records_counts,https://api.test.ala.org.au/common/biocache/occurrences/search,atlas_counts,TRUE,GET
Australia,records,records_facets,https://api.test.ala.org.au/common/biocache/occurrences/facets,"atlas_counts, show_values-fields",TRUE,GET
Australia,records,records_fields,https://api.test.ala.org.au/common/biocache/index/fields,show_all-fields,TRUE,GET
Australia,records,records_occurrences,https://api.test.ala.org.au/common/biocache/occurrences/offline/download,atlas_occurrences,TRUE,GET
Australia,records,records_query,https://api.test.ala.org.au,atlas_occurrences,FALSE,GET
Australia,records,records_species,https://api.test.ala.org.au/occurrences/occurrences/facets/download,atlas_species,TRUE,GET
Australia,spatial,spatial_layers,https://api.test.ala.org.au/common/spatial/layers,show_all-fields,TRUE,GET
Australia,species,species_children,https://api.test.ala.org.au/common/bie/childConcepts/{id},atlas_taxonomy,TRUE,GET
